concept_id,term,group_key,kind
C001,moving_company,root,root
C002,move_order,operations,entity
C003,route_plan,operations,entity
C004,time_slot,operations,entity
C005,fulfillment_event,operations,entity
C006,address_record,operations,entity
C007,staff_registry,employees,entity
C008,job_assignment,employees,entity
C009,worked_hours,employees,entity
C010,payroll_calculation,employees,entity
C011,bonus_record,employees,entity
C012,leave_request,employees,entity
C013,private_customer,customers,entity
C014,corporate_customer,customers,entity
C015,customer_contact,customers,entity
C016,billing_profile,customers,entity
C017,billing_history,customers,entity
C018,moving_service,products,entity
C019,cleaning_service,products,entity
C020,box_rental,products,entity
C021,service_configuration,products,entity
C022,pricing_rule,products,entity
C023,marketing_campaign,marketing,entity
C024,discount_code,marketing,entity
C025,sales_lead,marketing,entity
C026,conversion_metric,marketing,entity
C027,payment_record,finance,entity
C028,invoice_document,finance,entity
C029,expense_record,finance,entity
C030,vat_summary,finance,entity
C031,vehicle_asset,assets,entity
C032,equipment_asset,assets,entity
C033,consumable_item,assets,entity
C034,maintenance_log,assets,entity
C035,contract_document,administration,entity
C036,insurance_policy,administration,entity
C037,compliance_document,administration,entity
C038,audit_log_entry,administration,entity
C039,user_account,access_control,entity
C040,role_definition,access_control,entity
C041,permission_set,access_control,entity
C042,authentication_token,security,entity
C043,rbac_policy,security,entity
C044,activity_audit,security,entity
C045,version_history,data_lifecycle,entity
C046,soft_delete_marker,data_lifecycle,entity
C047,notification_message,notifications,entity
C048,notification_channel,notifications,entity
C049,automation_hook,automation,entity
C050,api_integration,automation,entity
