group operations_logistics
group employees_payroll
group customers_contacts
group products_services
group marketing_sales
group finance_accounting
group assets_maintenance
group administration_compliance
group user_role_management
group security_audit
group notifications_automation
group api_integration
group versioning_lifecycle
group root_domain

concept moving_company root_domain root
concept move_order operations_logistics entity
concept route_plan operations_logistics entity
concept time_slot operations_logistics entity
concept fulfillment_event operations_logistics entity
concept address_record operations_logistics entity
concept staff_registry employees_payroll entity
concept job_assignment employees_payroll entity
concept worked_hours employees_payroll entity
concept payroll_calculation employees_payroll entity
concept bonus_record employees_payroll entity
concept leave_request employees_payroll entity
concept private_customer customers_contacts entity
concept corporate_customer customers_contacts entity
concept contact_person customers_contacts entity
concept billing_profile customers_contacts entity
concept billing_history customers_contacts entity
concept moving_service products_services entity
concept cleaning_service products_services entity
concept box_rental products_services entity
concept service_configuration products_services entity
concept pricing_rule products_services entity
concept marketing_campaign marketing_sales entity
concept discount_code marketing_sales entity
concept sales_lead marketing_sales entity
concept conversion_metric marketing_sales entity
concept payment_transaction finance_accounting entity
concept invoice_document finance_accounting entity
concept expense_record finance_accounting entity
concept vat_summary finance_accounting entity
concept vehicle_asset assets_maintenance entity
concept equipment_asset assets_maintenance entity
concept consumable_item assets_maintenance entity
concept maintenance_log assets_maintenance entity
concept contract_document administration_compliance entity
concept insurance_policy administration_compliance entity
concept document_archive administration_compliance entity
concept audit_log administration_compliance entity
concept user_account user_role_management entity
concept role_definition user_role_management entity
concept authentication_token security_audit entity
concept rbac_policy security_audit entity
concept activity_audit security_audit entity
concept version_snapshot versioning_lifecycle entity
concept soft_delete_flag versioning_lifecycle entity
concept notification_message notifications_automation entity
concept automation_hook notifications_automation entity
concept api_endpoint api_integration entity
concept integration_credential api_integration entity
concept customer_type customers_contacts ambiguous
concept service_type products_services ambiguous
concept asset_category assets_maintenance ambiguous
concept document_type administration_compliance ambiguous
concept payment_method finance_accounting ambiguous
concept lead_source marketing_sales ambiguous
concept job_role employees_payroll ambiguous
concept route_status operations_logistics ambiguous
concept fulfillment_status operations_logistics ambiguous
concept billing_status customers_contacts ambiguous
concept contract_status administration_compliance ambiguous
concept insurance_status administration_compliance ambiguous
concept maintenance_status assets_maintenance ambiguous
concept leave_status employees_payroll ambiguous
concept campaign_status marketing_sales ambiguous
concept invoice_status finance_accounting ambiguous
concept expense_status finance_accounting ambiguous
concept vehicle_status assets_maintenance ambiguous
concept equipment_status assets_maintenance ambiguous
concept consumable_status assets_maintenance ambiguous
concept document_status administration_compliance ambiguous
concept audit_action administration_compliance ambiguous
concept notification_channel notifications_automation ambiguous
concept hook_trigger notifications_automation ambiguous
concept api_method api_integration ambiguous
concept credential_scope api_integration ambiguous
concept version_action versioning_lifecycle ambiguous
concept delete_reason versioning_lifecycle ambiguous
concept role_permission user_role_management ambiguous
concept auth_scope security_audit ambiguous
concept activity_type security_audit ambiguous
concept address_type operations_logistics ambiguous
concept slot_capacity operations_logistics ambiguous
concept event_type operations_logistics ambiguous
concept assignment_type employees_payroll ambiguous
concept pay_period employees_payroll ambiguous
concept bonus_type employees_payroll ambiguous
concept leave_type employees_payroll ambiguous
concept contact_role customers_contacts ambiguous
concept billing_currency customers_contacts ambiguous
concept history_period customers_contacts ambiguous
concept service_duration products_services ambiguous
concept config_option products_services ambiguous
concept price_tier products_services ambiguous
concept campaign_channel marketing_sales ambiguous
concept code_validity marketing_sales ambiguous
concept lead_stage marketing_sales ambiguous
concept metric_period marketing_sales ambiguous
concept transaction_type finance_accounting ambiguous
