from_concept_id,verb,to_concept_id
C001,manages,C002
C001,manages,C007
C001,manages,C013
C001,manages,C014
C001,manages,C018
C001,manages,C023
C001,manages,C027
C001,manages,C031
C001,manages,C035
C001,manages,C039
C002,requires,C003
C002,scheduled_in,C004
C002,generates,C005
C002,ships_to,C006
C007,assigned_to,C008
C008,logs,C009
C009,feeds,C010
C010,includes,C011
C007,submits,C012
C013,has,C015
C014,has,C015
C013,has,C016
C014,has,C016
C016,generates,C017
C018,uses,C021
C021,uses,C022
C023,issues,C024
C023,generates,C025
C025,tracked_by,C026
C027,settles,C028
C028,references,C017
,tracks,C029
,calculates,C030
C031,undergoes,C034
C032,undergoes,C034
C033,consumed_by,C002
C035,covers,C002
C036,covers,C031
C037,stored_in,C038
C039,assigned_to,C040
C040,grants,C041
C039,authenticates_via,C042
C041,enforced_by,C043
C043,logs,C044
C002,tracked_by,C045
C002,marked_by,C046
C002,triggers,C047
C047,sent_via,C048
C002,triggers,C049
C049,calls,C050
