field_id,concept_id,field_name,semantic_type,required,target_concept_id,status
F0001,C001,company_name,string,true,,proposed
F0002,C001,operating_region,string,true,,proposed
F0003,C001,contact_phone,string,true,,proposed
F0004,C001,insurance_provider,string,false,,proposed
F0005,C002,move_date,date,true,,proposed
F0006,C002,origin_address_id,reference,true,C006,proposed
F0007,C002,destination_address_id,reference,true,C006,proposed
F0008,C002,customer_id,reference,true,C013,proposed
F0009,C002,status,string,true,,proposed
F0010,C002,estimated_duration_hours,decimal,false,,proposed
F0011,C003,route_name,string,true,,proposed
F0012,C003,distance_km,decimal,true,,proposed
F0013,C003,estimated_time_minutes,integer,true,,proposed
F0014,C003,toll_cost,decimal,false,,proposed
F0015,C004,start_time,timestamp,true,,proposed
F0016,C004,end_time,timestamp,true,,proposed
F0017,C004,availability_status,string,true,,proposed
F0018,C004,capacity_limit,integer,true,,proposed
F0019,C005,event_type,string,true,,proposed
F0020,C005,occurred_at,timestamp,true,,proposed
F0021,C005,move_id,reference,true,C002,proposed
F0022,C005,staff_id,reference,false,C007,proposed
F0023,C005,notes,text,false,,proposed
F0024,C006,street_address,string,true,,proposed
F0025,C006,city,string,true,,proposed
F0026,C006,postal_code,string,true,,proposed
F0027,C006,country_code,string,true,,proposed
F0028,C006,access_notes,text,false,,proposed
F0029,C020,fulfillment_status,string,true,,proposed
F0030,C020,move_id,reference,true,C002,proposed
F0031,C020,service_catalog_item_id,reference,true,C019,proposed
F0032,C020,completed_at,timestamp,false,,proposed
F0033,C020,quality_rating,integer,false,,proposed
F0034,C013,customer_name,string,true,,proposed
F0035,C013,customer_type,string,true,,proposed
F0036,C013,registration_date,date,true,,proposed
F0037,C013,is_active,boolean,true,,proposed
F0038,C013,primary_contact_id,reference,false,C014,proposed
F0039,C013,billing_info_id,reference,false,C015,proposed
F0040,C014,full_name,string,true,,proposed
F0041,C014,email_address,string,true,,proposed
F0042,C014,phone_number,string,true,,proposed
F0043,C014,preferred_contact_method,string,false,,proposed
F0044,C014,is_primary,boolean,true,,proposed
F0045,C015,company_name,string,true,,proposed
F0046,C015,tax_id,string,true,,proposed
F0047,C015,billing_address_id,reference,true,C006,proposed
F0048,C015,payment_terms_days,integer,true,,proposed
F0049,C015,is_default,boolean,true,,proposed
F0050,C016,invoice_id,reference,true,C029,proposed
F0051,C016,amount_due,decimal,true,,proposed
F0052,C016,amount_paid,decimal,true,,proposed
F0053,C016,payment_date,date,false,,proposed
F0054,C016,payment_method,string,true,,proposed
F0055,C016,status,string,true,,proposed
F0056,C017,sku,string,true,,proposed
F0057,C017,weight_kg,decimal,true,,proposed
F0058,C017,dimension_cm,string,true,,proposed
F0059,C017,stock_quantity,integer,true,,proposed
F0060,C017,storage_location,string,false,,proposed
F0061,C018,service_code,string,true,,proposed
F0062,C018,duration_hours,decimal,true,,proposed
F0063,C018,requires_specialist,boolean,true,,proposed
F0064,C018,description,text,false,,proposed
F0065,C019,catalog_name,string,true,,proposed
F0066,C019,category,string,true,,proposed
F0067,C019,is_active,boolean,true,,proposed
F0068,C019,display_order,integer,false,,proposed
F0069,C019,service_product_id,reference,true,C018,proposed
F0070,C021,config_key,string,true,,proposed
F0071,C021,config_value,string,true,,proposed
F0072,C021,scope,string,true,,proposed
F0073,C021,is_public,boolean,true,,proposed
F0074,C022,list_name,string,true,,proposed
F0075,C022,currency_code,string,true,,proposed
F0076,C022,valid_from,date,true,,proposed
F0077,C022,valid_to,date,false,,proposed
F0078,C022,is_default,boolean,true,,proposed
F0079,C007,employee_name,string,true,,proposed
F0080,C007,role_title,string,true,,proposed
F0081,C007,hire_date,date,true,,proposed
F0082,C007,employment_status,string,true,,proposed
F0083,C007,base_hourly_rate,decimal,true,,proposed
F0084,C008,assignment_date,date,true,,proposed
F0085,C008,job_type,string,true,,proposed
F0086,C008,assigned_route,reference,false,C003,proposed
F0087,C008,assigned_vehicle,reference,false,C034,proposed
F0088,C008,shift_start,timestamp,true,,proposed
F0089,C008,shift_end,timestamp,true,,proposed
F0090,C009,work_date,date,true,,proposed
F0091,C009,hours_worked,decimal,true,,proposed
F0092,C009,overtime_hours,decimal,false,,proposed
F0093,C009,verified_by,reference,false,C044,proposed
F0094,C009,notes,text,false,,proposed
F0095,C010,pay_period_start,date,true,,proposed
F0096,C010,pay_period_end,date,true,,proposed
F0097,C010,gross_pay,decimal,true,,proposed
F0098,C010,tax_deductions,decimal,true,,proposed
F0099,C010,net_pay,decimal,true,,proposed
F0100,C010,processed_date,timestamp,true,,proposed
F0101,C011,bonus_type,string,true,,proposed
F0102,C011,amount,decimal,true,,proposed
F0103,C011,award_date,date,true,,proposed
F0104,C011,reason,text,false,,proposed
F0105,C011,approved_by,reference,false,C044,proposed
F0106,C012,leave_type,string,true,,proposed
F0107,C012,start_date,date,true,,proposed
F0108,C012,end_date,date,true,,proposed
F0109,C012,status,string,true,,proposed
F0110,C012,requested_on,timestamp,true,,proposed
