"concept_id","term","group_id","ambiguity","status"
"C001","move","G001","none","proposed"
"C002","route","G001","none","proposed"
"C003","time_slot","G001","none","proposed"
"C004","fulfillment_event","G001","none","proposed"
"C005","address","G001","possible","proposed"
"C006","staff_registry","G002","none","proposed"
"C007","job_assignment","G002","possible","proposed"
"C008","worked_hours","G002","none","proposed"
"C009","payroll_calculation","G002","none","proposed"
"C010","bonus","G002","none","proposed"
"C011","leave","G002","none","proposed"
"C012","customer","G003","none","proposed"
"C013","contact","G003","none","proposed"
"C014","billing_information","G003","none","proposed"
"C015","history","G003","possible","proposed"
"C016","product","G004","none","proposed"
"C017","service","G004","possible","proposed"
"C018","configuration","G004","none","proposed"
"C019","pricing","G004","none","proposed"
"C020","campaign","G005","none","proposed"
"C021","discount_code","G005","none","proposed"
"C022","lead","G005","none","proposed"
"C023","conversion_metric","G005","none","proposed"
"C024","payment","G006","none","proposed"
"C025","invoice","G006","none","proposed"
"C026","expense","G006","none","proposed"
"C027","vat","G006","none","proposed"
"C028","summary","G006","none","proposed"
"C029","vehicle","G007","none","proposed"
"C030","equipment","G007","none","proposed"
"C031","consumable","G007","none","proposed"
"C032","maintenance","G007","none","proposed"
"C033","contract","G008","none","proposed"
"C034","insurance","G008","none","proposed"
"C035","document","G008","possible","proposed"
"C036","audit_log","G008","none","proposed"
