"from_concept_id","verb","to_concept_id","status"
"C001","uses","C002","proposed"
"C001","scheduled_in","C003","proposed"
"C001","generates","C004","proposed"
"C001","has","C005","proposed"
"C006","receives","C007","proposed"
"C006","logs","C008","proposed"
"C008","feeds","C009","proposed"
"C009","includes","C010","proposed"
"C006","takes","C011","proposed"
"C012","has","C013","proposed"
"C012","has","C014","proposed"
"C012","has","C015","proposed"
"C016","has","C017","proposed"
"C016","has","C018","proposed"
"C016","has","C019","proposed"
"C020","generates","C022","proposed"
"C022","uses","C021","proposed"
"C022","measured_by","C023","proposed"
"C024","pays","C025","proposed"
"C025","includes","C027","proposed"
"C026","recorded_in","C028","proposed"
"C029","undergoes","C032","proposed"
"C030","undergoes","C032","proposed"
"C033","covers","C034","proposed"
